wv0033,silt,Error,wv1500,cec,ocs,Longitude,Latitude,phh2o,sand,wv0010,nitrogen,ocd,cfvo,clay,bdod,soc
,,No data available,,,,68,8.1,,,,,,,,,
,,No data available,,,,68.1,8.1,,,,,,,,,
,,No data available,,,,68.2,8.1,,,,,,,,,
,,No data available,,,,68.3,8.1,,,,,,,,,
,,No data available,,,,68.4,8.1,,,,,,,,,
,,No data available,,,,68.5,8.1,,,,,,,,,
,,No data available,,,,68.6,8.1,,,,,,,,,
,,No data available,,,,68.7,8.1,,,,,,,,,
,,No data available,,,,68.8,8.1,,,,,,,,,
,,No data available,,,,68.9,8.1,,,,,,,,,
,,No data available,,,,69.0,8.1,,,,,,,,,
,,No data available,,,,69.1,8.1,,,,,,,,,
,,No data available,,,,69.2,8.1,,,,,,,,,
,,No data available,,,,69.3,8.1,,,,,,,,,
,,No data available,,,,69.4,8.1,,,,,,,,,
,,No data available,,,,69.5,8.1,,,,,,,,,
,,No data available,,,,69.6,8.1,,,,,,,,,
,,No data available,,,,69.7,8.1,,,,,,,,,
,,No data available,,,,69.8,8.1,,,,,,,,,
,,No data available,,,,69.9,8.1,,,,,,,,,
,,No data available,,,,70.0,8.1,,,,,,,,,
,,No data available,,,,70.1,8.1,,,,,,,,,
,,No data available,,,,70.2,8.1,,,,,,,,,
,,No data available,,,,70.3,8.1,,,,,,,,,
,,No data available,,,,70.4,8.1,,,,,,,,,
,,No data available,,,,70.5,8.1,,,,,,,,,
,,No data available,,,,70.6,8.1,,,,,,,,,
,,No data available,,,,70.7,8.1,,,,,,,,,
,,No data available,,,,70.8,8.1,,,,,,,,,
,,No data available,,,,70.9,8.1,,,,,,,,,
,,No data available,,,,71.0,8.1,,,,,,,,,
,,No data available,,,,71.1,8.1,,,,,,,,,
,,No data available,,,,71.2,8.1,,,,,,,,,
,,No data available,,,,71.3,8.1,,,,,,,,,
,,No data available,,,,71.4,8.1,,,,,,,,,
,,No data available,,,,71.5,8.1,,,,,,,,,
,,No data available,,,,71.6,8.1,,,,,,,,,
,,No data available,,,,71.7,8.1,,,,,,,,,
,,No data available,,,,71.8,8.1,,,,,,,,,
,,,,,,71.9,8.1,,,,,,,,,
,,No data available,,,,72.0,8.1,,,,,,,,,
,,No data available,,,,72.1,8.1,,,,,,,,,
,,No data available,,,,72.2,8.1,,,,,,,,,
,,No data available,,,,72.3,8.1,,,,,,,,,
,,No data available,,,,72.4,8.1,,,,,,,,,
,,No data available,,,,72.5,8.1,,,,,,,,,
,,No data available,,,,72.6,8.1,,,,,,,,,
,,No data available,,,,72.7,8.1,,,,,,,,,
,,No data available,,,,72.8,8.1,,,,,,,,,
,,No data available,,,,72.9,8.1,,,,,,,,,
,,No data available,,,,73.0,8.1,,,,,,,,,
,,No data available,,,,73.1,8.1,,,,,,,,,
,,No data available,,,,73.2,8.1,,,,,,,,,
,,No data available,,,,73.3,8.1,,,,,,,,,
,,No data available,,,,73.4,8.1,,,,,,,,,
,,No data available,,,,73.5,8.1,,,,,,,,,
,,No data available,,,,73.6,8.1,,,,,,,,,
,,No data available,,,,73.7,8.1,,,,,,,,,
,,No data available,,,,73.8,8.1,,,,,,,,,
,,No data available,,,,73.9,8.1,,,,,,,,,
,,No data available,,,,74.0,8.1,,,,,,,,,
,,No data available,,,,74.1,8.1,,,,,,,,,
,,No data available,,,,74.2,8.1,,,,,,,,,
,,No data available,,,,74.3,8.1,,,,,,,,,
,,No data available,,,,74.4,8.1,,,,,,,,,
,,No data available,,,,74.5,8.1,,,,,,,,,
,,No data available,,,,74.6,8.1,,,,,,,,,
,,No data available,,,,74.7,8.1,,,,,,,,,
,,No data available,,,,74.8,8.1,,,,,,,,,
,,No data available,,,,74.9,8.1,,,,,,,,,
,,No data available,,,,75.0,8.1,,,,,,,,,
,,No data available,,,,75.1,8.1,,,,,,,,,
,,No data available,,,,75.2,8.1,,,,,,,,,
,,No data available,,,,75.3,8.1,,,,,,,,,
,,No data available,,,,75.4,8.1,,,,,,,,,
,,No data available,,,,75.5,8.1,,,,,,,,,
,,No data available,,,,75.6,8.1,,,,,,,,,
,,No data available,,,,75.7,8.1,,,,,,,,,
,,No data available,,,,75.8,8.1,,,,,,,,,
,,No data available,,,,75.9,8.1,,,,,,,,,
,,No data available,,,,76.0,8.1,,,,,,,,,
,,No data available,,,,76.1,8.1,,,,,,,,,
,,No data available,,,,76.2,8.1,,,,,,,,,
,,No data available,,,,76.3,8.1,,,,,,,,,
,,No data available,,,,76.4,8.1,,,,,,,,,
,,No data available,,,,76.5,8.1,,,,,,,,,
,,No data available,,,,76.6,8.1,,,,,,,,,
,,No data available,,,,76.7,8.1,,,,,,,,,
,,No data available,,,,76.8,8.1,,,,,,,,,
,,No data available,,,,76.9,8.1,,,,,,,,,
,,No data available,,,,77.0,8.1,,,,,,,,,
,,No data available,,,,77.1,8.1,,,,,,,,,
,,No data available,,,,77.2,8.1,,,,,,,,,
,,No data available,,,,77.3,8.1,,,,,,,,,
,,No data available,,,,77.4,8.1,,,,,,,,,
,,No data available,,,,77.5,8.1,,,,,,,,,
,,No data available,,,,77.6,8.1,,,,,,,,,
,,No data available,,,,77.7,8.1,,,,,,,,,
,,No data available,,,,77.8,8.1,,,,,,,,,
,,No data available,,,,77.9,8.1,,,,,,,,,
,,No data available,,,,78.0,8.1,,,,,,,,,
,,No data available,,,,78.1,8.1,,,,,,,,,
,,No data available,,,,78.2,8.1,,,,,,,,,
,,No data available,,,,78.3,8.1,,,,,,,,,
,,No data available,,,,78.4,8.1,,,,,,,,,
,,No data available,,,,78.5,8.1,,,,,,,,,
,,No data available,,,,78.6,8.1,,,,,,,,,
,,No data available,,,,78.7,8.1,,,,,,,,,
,,No data available,,,,78.8,8.1,,,,,,,,,
,,No data available,,,,78.9,8.1,,,,,,,,,
,,No data available,,,,79.0,8.1,,,,,,,,,
,,No data available,,,,79.1,8.1,,,,,,,,,
,,No data available,,,,79.2,8.1,,,,,,,,,
,,No data available,,,,79.3,8.1,,,,,,,,,
,,No data available,,,,79.4,8.1,,,,,,,,,
,,No data available,,,,79.5,8.1,,,,,,,,,
,,No data available,,,,79.6,8.1,,,,,,,,,
,,No data available,,,,79.7,8.1,,,,,,,,,
,,No data available,,,,79.8,8.1,,,,,,,,,
,,No data available,,,,79.9,8.1,,,,,,,,,
,,No data available,,,,80.0,8.1,,,,,,,,,
,,No data available,,,,80.1,8.1,,,,,,,,,
,,No data available,,,,80.2,8.1,,,,,,,,,
,,No data available,,,,80.3,8.1,,,,,,,,,
,,No data available,,,,80.4,8.1,,,,,,,,,
,,No data available,,,,80.5,8.1,,,,,,,,,
,,No data available,,,,80.6,8.1,,,,,,,,,
,,No data available,,,,80.7,8.1,,,,,,,,,
,,No data available,,,,80.8,8.1,,,,,,,,,
,,No data available,,,,80.9,8.1,,,,,,,,,
,,No data available,,,,81.0,8.1,,,,,,,,,
,,No data available,,,,81.1,8.1,,,,,,,,,
,,No data available,,,,81.2,8.1,,,,,,,,,
,,No data available,,,,81.3,8.1,,,,,,,,,
,,No data available,,,,81.4,8.1,,,,,,,,,
,,No data available,,,,81.5,8.1,,,,,,,,,
,,No data available,,,,81.6,8.1,,,,,,,,,
,,No data available,,,,81.7,8.1,,,,,,,,,
,,No data available,,,,81.8,8.1,,,,,,,,,
,,No data available,,,,81.9,8.1,,,,,,,,,
,,No data available,,,,82.0,8.1,,,,,,,,,
,,No data available,,,,82.1,8.1,,,,,,,,,
,,No data available,,,,82.2,8.1,,,,,,,,,
,,No data available,,,,82.3,8.1,,,,,,,,,
,,No data available,,,,82.4,8.1,,,,,,,,,
,,No data available,,,,82.5,8.1,,,,,,,,,
,,No data available,,,,82.6,8.1,,,,,,,,,
,,No data available,,,,82.7,8.1,,,,,,,,,
,,No data available,,,,82.8,8.1,,,,,,,,,
,,No data available,,,,82.9,8.1,,,,,,,,,
,,No data available,,,,83.0,8.1,,,,,,,,,
,,No data available,,,,83.1,8.1,,,,,,,,,
,,No data available,,,,83.2,8.1,,,,,,,,,
,,No data available,,,,83.3,8.1,,,,,,,,,
,,No data available,,,,83.4,8.1,,,,,,,,,
,,No data available,,,,83.5,8.1,,,,,,,,,
,,No data available,,,,83.6,8.1,,,,,,,,,
,,No data available,,,,83.7,8.1,,,,,,,,,
,,No data available,,,,83.8,8.1,,,,,,,,,
,,No data available,,,,83.9,8.1,,,,,,,,,
,,No data available,,,,84.0,8.1,,,,,,,,,
,,No data available,,,,84.1,8.1,,,,,,,,,
,,No data available,,,,84.2,8.1,,,,,,,,,
,,No data available,,,,84.3,8.1,,,,,,,,,
,,No data available,,,,84.4,8.1,,,,,,,,,
,,No data available,,,,84.5,8.1,,,,,,,,,
,,No data available,,,,84.6,8.1,,,,,,,,,
,,No data available,,,,84.7,8.1,,,,,,,,,
,,No data available,,,,84.8,8.1,,,,,,,,,
,,No data available,,,,84.9,8.1,,,,,,,,,
,,No data available,,,,85.0,8.1,,,,,,,,,
,,No data available,,,,85.1,8.1,,,,,,,,,
,,No data available,,,,85.2,8.1,,,,,,,,,
,,No data available,,,,85.3,8.1,,,,,,,,,
,,No data available,,,,85.4,8.1,,,,,,,,,
,,No data available,,,,85.5,8.1,,,,,,,,,
,,No data available,,,,85.6,8.1,,,,,,,,,
,,No data available,,,,85.7,8.1,,,,,,,,,
,,No data available,,,,85.8,8.1,,,,,,,,,
,,No data available,,,,85.9,8.1,,,,,,,,,
,,No data available,,,,86.0,8.1,,,,,,,,,
,,No data available,,,,86.1,8.1,,,,,,,,,
,,No data available,,,,86.2,8.1,,,,,,,,,
,,No data available,,,,86.3,8.1,,,,,,,,,
,,No data available,,,,86.4,8.1,,,,,,,,,
,,No data available,,,,86.5,8.1,,,,,,,,,
,,No data available,,,,86.6,8.1,,,,,,,,,
,,No data available,,,,86.7,8.1,,,,,,,,,
,,No data available,,,,86.8,8.1,,,,,,,,,
,,No data available,,,,86.9,8.1,,,,,,,,,
,,No data available,,,,87.0,8.1,,,,,,,,,
,,No data available,,,,87.1,8.1,,,,,,,,,
,,No data available,,,,87.2,8.1,,,,,,,,,
,,No data available,,,,87.3,8.1,,,,,,,,,
,,No data available,,,,87.4,8.1,,,,,,,,,
,,No data available,,,,87.5,8.1,,,,,,,,,
,,No data available,,,,87.6,8.1,,,,,,,,,
,,No data available,,,,87.7,8.1,,,,,,,,,
,,No data available,,,,87.8,8.1,,,,,,,,,
,,No data available,,,,87.9,8.1,,,,,,,,,
,,No data available,,,,88.0,8.1,,,,,,,,,
,,No data available,,,,88.1,8.1,,,,,,,,,
,,No data available,,,,88.2,8.1,,,,,,,,,
,,No data available,,,,88.3,8.1,,,,,,,,,
,,No data available,,,,88.4,8.1,,,,,,,,,
,,No data available,,,,88.5,8.1,,,,,,,,,
,,No data available,,,,88.6,8.1,,,,,,,,,
,,No data available,,,,88.7,8.1,,,,,,,,,
,,No data available,,,,88.8,8.1,,,,,,,,,
,,No data available,,,,88.9,8.1,,,,,,,,,
,,No data available,,,,89.0,8.1,,,,,,,,,
,,No data available,,,,89.1,8.1,,,,,,,,,
,,No data available,,,,89.2,8.1,,,,,,,,,
,,No data available,,,,89.3,8.1,,,,,,,,,
,,No data available,,,,89.4,8.1,,,,,,,,,
,,No data available,,,,89.5,8.1,,,,,,,,,
,,No data available,,,,89.6,8.1,,,,,,,,,
,,No data available,,,,89.7,8.1,,,,,,,,,
,,No data available,,,,89.8,8.1,,,,,,,,,
,,No data available,,,,89.9,8.1,,,,,,,,,
,,No data available,,,,90.0,8.1,,,,,,,,,
,,No data available,,,,90.1,8.1,,,,,,,,,
,,No data available,,,,90.2,8.1,,,,,,,,,
,,No data available,,,,90.3,8.1,,,,,,,,,
,,No data available,,,,90.4,8.1,,,,,,,,,
,,No data available,,,,90.5,8.1,,,,,,,,,
,,No data available,,,,90.6,8.1,,,,,,,,,
,,No data available,,,,90.7,8.1,,,,,,,,,
,,No data available,,,,90.8,8.1,,,,,,,,,
,,No data available,,,,90.9,8.1,,,,,,,,,
,,No data available,,,,91.0,8.1,,,,,,,,,
,,No data available,,,,91.1,8.1,,,,,,,,,
,,No data available,,,,91.2,8.1,,,,,,,,,
,,No data available,,,,91.3,8.1,,,,,,,,,
,,No data available,,,,91.4,8.1,,,,,,,,,
,,No data available,,,,91.5,8.1,,,,,,,,,
,,No data available,,,,91.6,8.1,,,,,,,,,
,,No data available,,,,91.7,8.1,,,,,,,,,
,,No data available,,,,91.8,8.1,,,,,,,,,
,,No data available,,,,91.9,8.1,,,,,,,,,
,,No data available,,,,92.0,8.1,,,,,,,,,
,,No data available,,,,92.1,8.1,,,,,,,,,
,,No data available,,,,92.2,8.1,,,,,,,,,
,,No data available,,,,92.3,8.1,,,,,,,,,
,,No data available,,,,92.4,8.1,,,,,,,,,
,,No data available,,,,92.5,8.1,,,,,,,,,
,,No data available,,,,92.6,8.1,,,,,,,,,
,,No data available,,,,92.7,8.1,,,,,,,,,
,,No data available,,,,92.8,8.1,,,,,,,,,
,,No data available,,,,92.9,8.1,,,,,,,,,
,,No data available,,,,93.0,8.1,,,,,,,,,
,,No data available,,,,93.1,8.1,,,,,,,,,
,,No data available,,,,93.2,8.1,,,,,,,,,
,,No data available,,,,93.3,8.1,,,,,,,,,
,,No data available,,,,93.4,8.1,,,,,,,,,
,,No data available,,,,93.5,8.1,,,,,,,,,
,,No data available,,,,93.6,8.1,,,,,,,,,
,,No data available,,,,93.7,8.1,,,,,,,,,
,,No data available,,,,93.8,8.1,,,,,,,,,
,,No data available,,,,93.9,8.1,,,,,,,,,
,,No data available,,,,94.0,8.1,,,,,,,,,
,,No data available,,,,94.1,8.1,,,,,,,,,
,,No data available,,,,94.2,8.1,,,,,,,,,
,,No data available,,,,94.3,8.1,,,,,,,,,
,,No data available,,,,94.4,8.1,,,,,,,,,
,,No data available,,,,94.5,8.1,,,,,,,,,
,,No data available,,,,94.6,8.1,,,,,,,,,
,,No data available,,,,94.7,8.1,,,,,,,,,
,,No data available,,,,94.8,8.1,,,,,,,,,
,,No data available,,,,94.9,8.1,,,,,,,,,
,,No data available,,,,95.0,8.1,,,,,,,,,
,,No data available,,,,95.1,8.1,,,,,,,,,
,,No data available,,,,95.2,8.1,,,,,,,,,
,,No data available,,,,95.3,8.1,,,,,,,,,
,,No data available,,,,95.4,8.1,,,,,,,,,
,,No data available,,,,95.5,8.1,,,,,,,,,
,,No data available,,,,95.6,8.1,,,,,,,,,
,,No data available,,,,95.7,8.1,,,,,,,,,
,,No data available,,,,95.8,8.1,,,,,,,,,
,,No data available,,,,95.9,8.1,,,,,,,,,
,,No data available,,,,96.0,8.1,,,,,,,,,
,,No data available,,,,96.1,8.1,,,,,,,,,
,,No data available,,,,96.2,8.1,,,,,,,,,
,,No data available,,,,96.3,8.1,,,,,,,,,
,,No data available,,,,96.4,8.1,,,,,,,,,
,,No data available,,,,96.5,8.1,,,,,,,,,
,,No data available,,,,96.6,8.1,,,,,,,,,
,,No data available,,,,96.7,8.1,,,,,,,,,
,,No data available,,,,96.8,8.1,,,,,,,,,
,,No data available,,,,96.9,8.1,,,,,,,,,
,,No data available,,,,97.0,8.1,,,,,,,,,
,,No data available,,,,97.1,8.1,,,,,,,,,
,,No data available,,,,97.2,8.1,,,,,,,,,
,,No data available,,,,97.3,8.1,,,,,,,,,
,,No data available,,,,97.4,8.1,,,,,,,,,
,,No data available,,,,97.5,8.1,,,,,,,,,
,,No data available,,,,97.6,8.1,,,,,,,,,
