Latitude,Longitude,Elevation,Mean Temperature,Humidity,Rainfall,clay,cec,ocs,sand,silt,ocd,nitrogen,wv1500,cfvo,wv0033,wv0010,soc,bdod,phh2o,Phosphorus,Potassium
8.2,93.5,20,28.44,81.54,2.5,267,193,65,444,289,424,492,148,92,330,361,558.0,81.0,54,6740.437500000001,607.4
8.3,77.1,27,25.78,81.53,0.15,327,245,57,367,306,356,461,191,110,284,370,528.0,135.0,61,6386.152249999999,773.23
8.3,77.2,37,23.03,89.67,0.0,296,186,50,401,303,311,426,186,65,278,379,408.0,134.0,56,4938.25,675.3300000000002
8.3,77.3,99,23.03,89.67,0.0,350,210,54,364,286,339,426,195,135,278,355,514.0,135.0,57,6210.55,787.81
8.3,77.4,105,23.03,89.67,0.0,354,214,58,352,294,366,482,178,133,270,378,526.0,126.0,58,6359.599999999999,810.1500000000001
8.3,77.5,282,23.03,89.67,0.0,361,205,63,357,282,406,462,179,117,290,375,510.0,120.0,57,6165.8,812.88
8.3,77.6,80,23.03,89.67,0.0,347,272,43,368,285,328,250,167,53,269,366,268.0,141.0,64,3268.2999999999997,823.0
8.3,77.7,49,23.03,89.67,0.0,331,247,38,399,269,274,244,160,77,281,351,432.0,141.0,70,5211.2,764.2099999999999
8.3,77.8,20,23.03,89.67,0.0,320,283,43,371,309,297,256,176,63,294,348,639.0,145.0,68,7711.25,773.5
8.3,77.9,23,25.88,86.21,0.12,283,239,36,379,338,274,224,168,124,304,348,422.0,138.0,69,5089.7518,678.07
8.3,79.9,13,26.08,86.28,14.32,267,211,70,456,278,384,525,196,99,314,334,766.0,122.0,59,9225.6648,603.8700000000001
8.3,80.0,52,26.08,86.28,14.32,257,160,55,562,181,336,485,192,87,301,347,568.0,125.0,57,6839.2648,528.28
8.3,80.1,94,26.08,86.28,14.32,300,180,57,498,202,351,408,194,105,311,344,481.0,129.0,58,5799.4148,635.26
8.3,80.2,98,26.08,86.28,14.32,271,207,54,506,223,354,321,181,86,319,324,407.0,136.0,60,4911.6648,588.82
8.3,80.3,87,26.08,86.28,14.32,253,166,53,532,214,358,373,189,89,301,354,393.0,135.0,61,4734.7148,536.13
8.3,80.4,94,25.19,90.88,20.32,280,186,59,496,224,368,369,176,107,317,347,364.0,138.0,60,4394.1548,604.6600000000001
8.3,80.5,113,25.19,90.88,20.32,300,181,52,482,218,324,352,173,95,306,361,371.0,133.0,59,4482.004800000001,647.27
8.3,80.6,119,25.19,90.88,20.32,279,172,54,458,263,356,514,181,124,311,348,428.0,129.0,58,5161.7047999999995,606.01
8.3,80.7,120,25.19,90.88,20.32,280,209,55,423,297,355,475,200,149,310,378,403.0,128.0,59,4880.0548,652.5
8.3,80.8,129,25.19,90.88,20.32,294,217,57,402,304,391,517,209,165,311,378,515.0,130.0,59,6226.8548,688.7100000000002
8.3,80.9,217,25.19,90.88,20.32,326,202,65,344,330,372,628,198,188,308,387,821.0,111.0,57,9900.0548,757.43
8.3,81.0,48,26.88,83.72,17.2,336,199,53,334,330,372,508,200,114,306,386,653.0,130.0,59,7878.508,777.92
8.3,81.1,30,26.88,83.72,17.2,356,260,58,339,305,361,466,204,89,303,391,555.0,130.0,62,6718.808,851.2
8.3,81.2,21,26.88,83.72,17.2,283,274,64,363,354,398,693,205,93,316,371,950.0,115.0,58,11467.108,713.09
8.3,81.3,18,26.88,83.72,17.2,308,250,58,365,326,395,615,185,104,312,360,569.0,126.0,62,6875.558,738.72
8.3,93.1,20,28.41,80.53,2.08,282,160,54,487,231,402,495,151,54,320,364,568.0,120.0,52,6853.8312000000005,602.9
8.4,77.0,20,25.78,81.53,0.15,332,230,58,388,280,366,440,202,141,318,395,475.0,135.0,57,5759.55225,777.0
8.4,77.1,28,25.78,81.53,0.15,316,268,61,350,334,384,488,184,91,319,375,478.0,136.0,56,5805.952249999999,774.32
8.4,77.2,66,23.03,89.67,0.0,336,192,55,387,277,348,384,195,104,284,375,424.0,130.0,55,5133.45,753.24
8.4,77.3,80,23.03,89.67,0.0,355,221,51,350,295,364,439,193,146,287,360,409.0,124.0,57,4955.650000000001,809.8000000000001
8.4,77.4,129,23.03,89.67,0.0,356,223,63,345,299,394,466,182,153,293,369,487.0,132.0,60,5888.3,817.4100000000001
8.4,77.5,603,23.03,89.67,0.0,315,186,80,343,342,474,483,206,122,297,386,683.0,112.0,56,8240.0,724.07
8.4,77.6,115,23.03,89.67,0.0,340,248,49,378,282,303,272,178,106,290,342,492.0,137.0,66,5937.7,783.0500000000001
8.4,77.7,59,23.03,89.67,0.0,366,266,41,379,256,283,234,163,107,291,343,454.0,144.0,69,5481.950000000001,841.3100000000001
8.4,77.8,39,23.03,89.67,0.0,334,280,41,383,284,294,265,174,65,283,338,513.0,146.0,71,6189.4,789.1100000000001
8.4,77.9,57,25.88,86.21,0.12,293,265,42,402,306,292,231,166,114,289,342,633.0,135.0,70,7627.2518,702.0299999999999
8.4,78.0,14,25.88,86.21,0.12,324,244,48,348,328,286,204,168,92,302,356,377.0,146.0,69,4553.5018,767.46
8.4,79.9,35,26.08,86.28,14.32,289,209,64,416,295,342,474,188,111,308,334,573.0,126.0,60,6906.864799999999,654.0500000000001
8.4,80.0,74,26.08,86.28,14.32,302,180,52,466,232,370,442,190,115,316,340,513.0,125.0,58,6182.4148,647.0600000000001
8.4,80.1,80,26.08,86.28,14.32,261,178,59,497,241,361,457,193,97,309,343,523.0,126.0,58,6302.4648,563.9000000000001
8.4,80.2,83,26.08,86.28,14.32,262,217,55,504,234,337,307,171,77,307,348,353.0,135.0,60,4273.1648,588.9699999999999
8.4,80.3,87,26.08,86.28,14.32,289,195,52,478,233,356,351,167,96,305,355,417.0,135.0,58,5039.4148,634.9300000000001
8.4,80.4,79,25.19,90.88,20.32,245,244,64,477,279,358,360,183,97,291,348,446.0,134.0,59,5400.8048,582.71
8.4,80.5,104,25.19,90.88,20.32,294,165,60,480,226,347,399,185,88,312,344,484.0,130.0,59,5828.1548,620.7600000000001
8.4,80.6,105,25.19,90.88,20.32,297,184,50,443,259,361,460,177,119,318,353,444.0,130.0,57,5361.2548,652.2500000000001
8.4,81.3,9,26.88,83.72,17.2,277,268,52,351,372,421,642,184,93,327,376,669.0,123.0,63,8083.758,704.41
8.5,77.1,67,25.78,81.53,0.15,328,214,62,385,287,386,421,214,159,290,373,489.0,127.0,55,5920.652249999999,751.83
8.5,77.2,136,23.03,89.67,0.0,322,205,56,363,315,402,441,200,104,280,383,389.0,126.0,57,4715.8,745.5400000000001
8.5,77.3,127,23.03,89.67,0.0,339,211,63,377,283,375,441,199,133,289,370,440.0,123.0,58,5324.55,770.4300000000001
8.5,77.4,1324,23.03,89.67,0.0,352,187,70,353,295,502,553,188,74,344,421,872.0,106.0,53,10523.400000000001,795.0600000000001
8.5,77.5,406,23.03,89.67,0.0,312,201,67,450,239,393,442,177,108,300,375,542.0,126.0,57,6548.400000000001,693.1400000000001
8.5,77.6,111,23.03,89.67,0.0,372,250,46,371,257,295,278,163,91,286,352,374.0,141.0,67,4522.8,847.9900000000001
8.5,77.7,80,23.03,89.67,0.0,373,279,42,381,246,298,275,173,75,284,339,308.0,147.0,69,3733.5,859.3000000000001
8.5,77.8,55,23.03,89.67,0.0,300,257,37,414,286,317,231,172,106,295,336,532.0,143.0,72,6406.75,703.85
8.5,77.9,33,25.88,86.21,0.12,335,253,37,426,238,276,246,163,101,290,342,494.0,151.0,73,5948.7518,763.4699999999999
8.5,78.0,16,25.88,86.21,0.12,268,234,36,413,319,284,189,162,71,291,327,759.0,137.0,71,9122.5518,629.5400000000001
8.5,78.1,12,25.88,86.21,0.12,318,201,47,364,317,305,224,182,69,313,357,449.0,145.0,68,5404.8018,726.4799999999999
8.5,79.9,21,26.08,86.28,14.32,292,251,62,429,279,340,483,183,122,310,332,711.0,122.0,59,8579.1648,680.0899999999999
8.5,80.0,50,26.08,86.28,14.32,283,204,55,442,276,317,439,199,125,314,355,491.0,126.0,59,5928.4648,640.7
8.5,80.1,46,26.08,86.28,14.32,282,169,54,475,242,343,451,171,125,300,342,502.0,124.0,58,6047.064799999999,602.8399999999999
8.5,80.2,52,26.08,86.28,14.32,287,163,54,471,242,359,324,178,80,301,353,390.0,133.0,58,4703.7148,613.7800000000001
8.5,80.3,59,26.08,86.28,14.32,265,178,52,489,246,354,428,184,100,310,346,493.0,131.0,58,5943.2148,574.91
8.5,80.4,71,25.19,90.88,20.32,299,195,58,464,237,346,344,181,101,299,345,428.0,133.0,59,5166.9048,653.29
8.5,80.5,91,25.19,90.88,20.32,284,192,51,489,227,362,395,184,108,322,346,412.0,131.0,58,4976.2047999999995,617.19
8.5,80.6,114,25.19,90.88,20.32,274,170,53,454,272,356,503,184,123,304,349,470.0,128.0,58,5665.2548,597.46
8.5,80.7,117,25.19,90.88,20.32,280,188,66,447,273,379,650,189,138,310,356,547.0,117.0,57,6599.4048,623.93
8.5,80.8,84,25.19,90.88,20.32,276,201,57,411,312,378,586,199,123,309,364,537.0,128.0,59,6481.754800000001,638.8599999999999
8.5,80.9,144,25.19,90.88,20.32,298,216,60,327,375,374,603,204,197,323,399,665.0,115.0,57,8035.9548,726.06
8.5,81.0,93,26.88,83.72,17.2,318,255,61,299,382,385,596,200,133,308,394,694.0,115.0,59,8392.108,792.37
8.5,81.1,12,26.88,83.72,17.2,378,246,50,289,333,372,513,208,122,306,381,529.0,131.0,61,6401.508,893.5799999999999
8.5,81.3,9,26.88,83.72,17.2,239,300,57,387,373,389,663,179,107,318,379,825.0,120.0,61,9971.908,645.61
8.6,76.9,66,25.78,81.53,0.15,320,227,59,357,323,377,371,203,161,303,392,407.0,132.0,54,4948.05225,761.2400000000001
8.6,77.1,92,25.78,81.53,0.15,344,244,61,370,287,399,416,203,141,309,383,419.0,124.0,55,5093.652249999999,806.8800000000001
8.6,77.2,399,23.03,89.67,0.0,329,210,64,402,269,400,479,186,100,291,383,465.0,123.0,56,5631.65,746.8100000000001
8.6,77.3,624,23.03,89.67,0.0,340,188,70,375,285,521,429,207,88,280,409,661.0,101.0,53,7988.75,769.66
8.6,77.4,560,23.03,89.67,0.0,334,207,70,392,274,459,491,179,119,290,359,779.0,108.0,54,9396.800000000001,745.8000000000001
8.6,77.5,350,23.03,89.67,0.0,316,184,60,440,244,391,395,177,138,262,365,434.0,120.0,57,5243.95,689.7
8.6,77.6,88,23.03,89.67,0.0,349,229,42,383,268,287,253,173,90,290,348,306.0,144.0,66,3700.55,789.0200000000001
8.6,77.7,64,23.03,89.67,0.0,332,273,44,379,290,262,268,170,90,306,358,330.0,147.0,69,4000.15,790.26
8.6,77.8,43,23.03,89.67,0.0,298,247,35,434,268,287,209,163,83,294,339,602.0,137.0,72,7244.0,689.5699999999999
8.6,77.9,16,25.88,86.21,0.12,353,267,43,342,305,293,215,182,56,291,358,357.0,146.0,68,4324.1518,836.04
8.6,78.0,8,25.88,86.21,0.12,341,239,44,344,315,308,225,179,61,312,375,454.0,143.0,69,5480.5018,803.92
8.6,80.0,38,26.08,86.28,14.32,316,193,66,418,265,339,470,204,128,293,352,543.0,124.0,58,6549.9648,699.62
8.6,80.1,67,26.08,86.28,14.32,285,196,56,465,250,360,485,175,137,311,353,552.0,126.0,57,6661.3648,631.6300000000001
8.6,80.2,77,26.08,86.28,14.32,259,192,67,485,256,399,499,181,134,321,355,671.0,123.0,58,8086.364799999999,577.13
8.6,80.3,59,26.08,86.28,14.32,277,194,66,468,255,372,490,174,113,305,356,558.0,127.0,56,6735.514799999999,616.41
8.6,80.4,84,25.19,90.88,20.32,297,178,50,459,245,372,425,174,111,316,352,475.0,129.0,57,5730.9048,643.66
8.6,80.5,117,25.19,90.88,20.32,270,210,64,466,264,362,612,174,161,305,350,609.0,122.0,57,7349.6048,611.0300000000001
8.6,80.6,123,25.19,90.88,20.32,278,176,59,442,280,384,536,178,159,310,354,548.0,126.0,59,6602.504800000001,613.77
8.6,80.7,100,25.19,90.88,20.32,284,195,60,430,287,388,641,184,143,312,356,680.0,119.0,58,8195.7548,640.6
8.6,80.8,112,25.19,90.88,20.32,292,225,61,317,391,384,593,208,183,334,386,761.0,116.0,58,9185.7548,718.78
8.6,80.9,59,25.19,90.88,20.32,308,207,64,340,353,354,619,198,146,306,376,682.0,117.0,57,8231.0548,726.4099999999999
8.6,81.0,55,26.88,83.72,17.2,343,218,57,313,344,367,562,210,111,301,384,657.0,117.0,59,7932.658,807.35
8.6,81.1,65,26.88,83.72,17.2,346,248,61,276,377,393,586,204,154,303,381,791.0,117.0,59,9550.408,840.5500000000001
8.6,81.2,10,26.88,83.72,17.2,332,297,55,313,356,374,634,200,105,311,389,743.0,130.0,62,8987.258,837.4
8.7,76.8,19,25.78,81.53,0.15,355,218,61,378,267,431,341,188,111,330,390,469.0,126.0,53,5690.50225,812.2099999999999
8.7,76.9,69,25.78,81.53,0.15,321,232,58,382,297,360,412,199,133,312,401,327.0,123.0,53,3994.1522499999996,762.1099999999999
8.7,77.0,72,25.78,81.53,0.15,335,203,58,368,297,380,385,199,128,334,402,329.0,122.0,53,4008.25225,774.48
8.7,77.1,123,25.78,81.53,0.15,331,204,61,391,279,393,431,206,107,313,385,414.0,123.0,56,5018.052249999999,753.6700000000001
8.7,77.2,1278,23.03,89.67,0.0,313,238,81,355,332,504,537,210,93,340,425,777.0,100.0,52,9404.349999999999,756.92
8.7,77.3,462,23.03,89.67,0.0,313,161,58,399,288,408,441,177,116,290,376,411.0,125.0,56,4964.75,686.0799999999999
8.7,77.4,74,23.03,89.67,0.0,315,179,48,408,277,339,275,172,82,277,373,316.0,139.0,59,3824.0,700.46
8.7,77.5,67,23.03,89.67,0.0,375,228,41,358,267,275,232,147,103,269,352,493.0,142.0,66,5945.2,844.5300000000001
8.7,77.6,49,23.03,89.67,0.0,364,229,41,376,259,285,219,165,103,293,374,360.0,143.0,65,4357.15,828.9100000000001
8.7,78.0,18,25.88,86.21,0.12,324,219,35,402,274,253,219,169,81,285,355,425.0,152.0,75,5107.9018,735.82
8.7,80.0,30,26.08,86.28,14.32,341,205,59,415,244,329,446,201,137,294,361,536.0,125.0,58,6472.4148,756.4000000000001
8.7,80.1,54,26.08,86.28,14.32,322,208,71,404,274,379,521,187,130,296,359,617.0,121.0,57,7447.0648,726.2600000000001
8.7,80.2,39,26.08,86.28,14.32,311,196,59,432,258,378,467,196,125,306,372,599.0,122.0,59,7225.9148000000005,696.2100000000002
8.7,80.3,49,26.08,86.28,14.32,308,194,56,455,237,365,392,189,109,301,359,522.0,130.0,59,6297.9648,677.41
8.7,80.4,78,25.19,90.88,20.32,309,225,58,449,242,352,368,173,139,305,355,460.0,132.0,60,5561.8048,697.72
8.7,80.5,98,25.19,90.88,20.32,280,196,54,454,266,354,462,178,129,310,348,462.0,130.0,58,5578.1048,623.62
8.7,80.6,109,25.19,90.88,20.32,259,202,58,457,283,388,621,182,149,321,358,676.0,124.0,58,8150.7047999999995,592.41
8.7,80.7,130,25.19,90.88,20.32,324,198,61,348,328,392,600,205,170,317,376,656.0,114.0,57,7915.9048,746.7
8.7,80.8,63,25.19,90.88,20.32,322,223,57,314,364,354,600,216,121,320,386,604.0,120.0,57,7303.1548,772.9699999999999
8.7,80.9,41,25.19,90.88,20.32,302,213,58,383,315,388,568,205,105,301,375,675.0,128.0,58,8146.8048,706.09
8.7,81.0,35,26.88,83.72,17.2,351,220,52,298,352,374,563,211,188,305,386,594.0,121.0,59,7177.858,828.45
8.7,81.1,38,26.88,83.72,17.2,281,270,66,358,361,401,661,190,93,301,367,707.0,119.0,60,8544.508,706.82
8.8,76.8,62,24.42,83.04,0.22,338,178,57,397,265,361,332,173,164,338,399,295.0,116.0,54,3588.6533,755.0799999999999
8.8,76.9,59,24.42,83.04,0.22,332,211,65,347,321,378,411,201,128,329,397,372.0,119.0,53,4525.8033000000005,778.3100000000001
8.8,77.0,124,24.42,83.04,0.22,345,208,62,357,298,394,508,195,140,329,404,407.0,123.0,54,4944.403300000001,799.06
8.8,77.1,255,24.42,83.04,0.22,335,196,69,377,288,442,477,216,119,334,413,525.0,114.0,53,6360.5533000000005,770.1500000000001
8.8,77.3,146,22.88,87.38,0.0,305,191,56,394,301,413,425,175,139,272,372,442.0,128.0,58,5342.05,692.74
8.8,77.4,95,22.88,87.38,0.0,312,231,42,406,282,303,262,166,72,283,360,294.0,146.0,62,3568.65,721.45
8.8,77.5,90,22.88,87.38,0.0,336,251,35,399,264,254,224,162,78,288,343,284.0,142.0,67,3440.9,772.0000000000001
8.8,77.6,84,22.88,87.38,0.0,321,258,38,405,273,292,238,168,79,292,335,426.0,136.0,68,5143.25,744.26
8.8,77.7,73,22.88,87.38,0.0,312,259,35,389,299,250,204,164,87,293,346,276.0,147.0,70,3342.15,737.9699999999999
8.8,77.8,32,22.88,87.38,0.0,327,243,37,410,262,258,174,175,71,267,343,322.0,149.0,72,3883.6000000000004,748.28
8.8,77.9,59,25.22,85.14,0.01,324,303,42,429,246,276,195,181,87,283,338,246.0,150.0,74,2987.15015,770.91
8.8,78.0,22,25.22,85.14,0.01,314,242,35,404,282,261,212,164,67,276,348,461.0,155.0,77,5542.00015,728.1800000000001
8.8,78.1,11,25.22,85.14,0.01,314,205,38,387,299,252,175,187,86,296,354,463.0,143.0,70,5569.25015,713.59
8.8,80.0,11,26.18,83.74,3.6,327,264,52,402,271,295,288,178,111,318,357,476.0,133.0,61,5765.603999999999,769.09
8.8,80.1,21,26.18,83.74,3.6,281,221,51,423,295,341,304,174,108,312,354,419.0,131.0,59,5070.004000000001,652.89
8.8,80.2,64,26.18,83.74,3.6,314,237,62,424,263,376,480,194,181,308,363,653.0,125.0,58,7887.954,724.7600000000001
8.8,80.3,84,26.18,83.74,3.6,282,198,54,452,266,363,489,175,172,311,353,618.0,124.0,57,7453.904,631.16
8.8,80.4,81,25.66,87.17,5.55,249,184,52,489,262,343,484,156,142,310,346,400.0,131.0,58,4829.183249999999,549.4900000000001
8.8,80.5,89,25.66,87.17,5.55,255,170,58,495,249,359,498,162,117,319,350,549.0,126.0,57,6615.38325,551.61
8.8,80.6,107,25.66,87.17,5.55,258,200,54,458,284,369,570,166,153,312,360,500.0,128.0,59,6036.18325,589.9300000000001
8.8,80.7,91,25.66,87.17,5.55,314,224,63,332,354,384,559,203,182,319,385,670.0,118.0,58,8092.933249999999,753.09
8.8,80.8,65,25.66,87.17,5.55,273,240,62,372,355,350,577,208,104,305,377,536.0,126.0,60,6484.33325,673.9500000000002
8.8,80.9,27,25.66,87.17,5.55,268,228,65,402,330,379,622,203,121,284,376,572.0,119.0,58,6916.08325,648.73
8.8,81.0,25,27.25,81.12,6.7,292,261,63,369,339,386,642,193,101,307,375,724.0,117.0,60,8747.2005,721.25
8.8,81.1,4,27.25,81.12,6.7,240,297,57,348,412,435,670,181,98,314,385,596.0,93.0,63,7220.000499999999,659.7600000000001
8.9,76.7,44,24.42,83.04,0.22,322,198,62,335,343,337,343,182,136,324,402,321.0,124.0,53,3910.5033,758.26
8.9,76.8,85,24.42,83.04,0.22,344,180,56,366,290,351,358,174,121,336,400,363.0,112.0,52,4409.8033000000005,776.5500000000001
8.9,76.9,68,24.42,83.04,0.22,317,186,63,351,332,395,406,189,118,332,398,330.0,117.0,53,4013.3032999999996,735.4200000000002
8.9,77.0,297,24.42,83.04,0.22,340,183,65,381,278,465,457,202,98,320,389,466.0,111.0,52,5644.103300000001,760.13
8.9,77.1,183,24.42,83.04,0.22,335,202,51,360,305,409,440,197,129,338,406,359.0,118.0,54,4366.8033000000005,776.77
8.9,77.2,783,22.88,87.38,0.0,339,210,68,370,291,490,520,197,102,310,384,590.0,114.0,55,7134.0,770.97
8.9,77.3,190,22.88,87.38,0.0,313,156,55,432,255,393,420,169,117,268,371,416.0,123.0,57,5019.650000000001,673.9
8.9,77.4,140,22.88,87.38,0.0,285,208,42,452,263,306,271,157,51,267,348,290.0,140.0,62,3509.6000000000004,640.0
8.9,77.5,110,22.88,87.38,0.0,336,233,36,420,244,279,220,170,59,266,335,318.0,144.0,66,3842.7000000000003,751.5
8.9,77.6,83,22.88,87.38,0.0,336,233,39,402,262,278,216,172,94,269,325,275.0,144.0,67,3322.1000000000004,753.17
8.9,77.7,61,22.88,87.38,0.0,333,249,31,397,270,267,204,172,67,285,337,299.0,146.0,70,3612.4,763.89
8.9,77.8,52,22.88,87.38,0.0,300,264,38,436,264,267,190,162,78,283,343,392.0,145.0,72,4730.95,704.2800000000001
8.9,77.9,62,25.22,85.14,0.01,290,281,44,460,251,304,204,169,100,302,348,400.0,146.0,74,4829.950150000001,691.1800000000001
