cfvo,wv0010,Latitude,Longitude,nitrogen,soc,sand,clay,ocs,Error,cec,phh2o,wv1500,wv0033,silt,ocd,bdod
,,20.1,68,,,,,,,,,,,,,
,,20.1,68.1,,,,,,,,,,,,,
,,20.1,68.2,,,,,,,,,,,,,
,,20.1,68.3,,,,,,,,,,,,,
,,20.1,68.4,,,,,,,,,,,,,
,,20.1,68.5,,,,,,,,,,,,,
,,20.1,68.6,,,,,,,,,,,,,
,,20.1,68.7,,,,,,,,,,,,,
,,20.1,68.8,,,,,,,,,,,,,
,,20.1,68.9,,,,,,,,,,,,,
,,20.1,69.0,,,,,,No data available,,,,,,,
,,20.1,69.1,,,,,,No data available,,,,,,,
,,20.1,69.2,,,,,,,,,,,,,
,,20.1,69.3,,,,,,,,,,,,,
,,20.1,69.4,,,,,,No data available,,,,,,,
,,20.1,69.5,,,,,,,,,,,,,
,,20.1,69.6,,,,,,No data available,,,,,,,
,,20.1,69.7,,,,,,No data available,,,,,,,
,,20.1,69.8,,,,,,No data available,,,,,,,
,,20.1,69.9,,,,,,No data available,,,,,,,
,,20.1,70.0,,,,,,No data available,,,,,,,
,,20.1,70.1,,,,,,No data available,,,,,,,
,,20.1,70.2,,,,,,No data available,,,,,,,
,,20.1,70.3,,,,,,No data available,,,,,,,
,,20.1,70.4,,,,,,No data available,,,,,,,
,,20.1,70.5,,,,,,No data available,,,,,,,
,,20.1,70.6,,,,,,,,,,,,,
,,20.1,70.7,,,,,,No data available,,,,,,,
,,20.1,70.8,,,,,,No data available,,,,,,,
,,20.1,70.9,,,,,,No data available,,,,,,,
,,20.1,71.0,,,,,,No data available,,,,,,,
,,20.1,71.1,,,,,,No data available,,,,,,,
,,20.1,71.2,,,,,,No data available,,,,,,,
,,20.1,71.3,,,,,,No data available,,,,,,,
,,20.1,71.4,,,,,,,,,,,,,
,,20.1,71.5,,,,,,No data available,,,,,,,
,,20.1,71.6,,,,,,,,,,,,,
,,20.1,71.7,,,,,,,,,,,,,
,,20.1,71.8,,,,,,,,,,,,,
,,20.1,71.9,,,,,,,,,,,,,
,,20.1,72.0,,,,,,,,,,,,,
,,20.1,72.1,,,,,,,,,,,,,
,,20.1,72.2,,,,,,,,,,,,,
,,20.1,72.3,,,,,,,,,,,,,
,,20.1,72.4,,,,,,,,,,,,,
,,20.1,72.5,,,,,,,,,,,,,
,,20.1,72.6,,,,,,,,,,,,,
,,20.1,72.7,,,,,,,,,,,,,
225,391,20.1,72.8,219,288,315,399,42,,237,68,166,352,286,303,141
118,394,20.1,72.9,229,133,304,411,43,,264,68,185,342,285,262,144
96,404,20.1,73.0,224,175,306,426,47,,272,66,170,333,268,293,143
229,403,20.1,73.1,288,234,345,372,54,,275,64,185,345,283,273,140
277,400,20.1,73.2,299,270,348,374,47,,262,63,181,342,278,268,142
293,405,20.1,73.3,289,305,347,366,52,,260,64,172,292,287,285,141
269,387,20.1,73.4,266,286,327,380,52,,293,63,174,250,293,312,144
178,410,20.1,73.5,213,183,300,412,52,,321,65,190,347,289,241,151
208,393,20.1,73.6,200,173,283,426,43,,354,65,208,370,290,253,155
178,405,20.1,73.7,185,152,240,427,46,,384,68,204,374,334,254,153
153,398,20.1,73.8,174,152,256,474,38,,433,70,196,375,269,231,158
141,384,20.1,73.9,167,160,237,455,35,,417,69,193,307,308,203,160
132,394,20.1,74.0,161,122,232,432,32,,350,71,203,307,336,197,156
108,394,20.1,74.1,167,128,226,460,34,,354,72,212,279,314,199,150
116,375,20.1,74.2,140,127,246,468,29,,385,72,201,289,287,200,153
80,380,20.1,74.3,153,114,239,444,30,,398,72,207,306,317,182,157
80,363,20.1,74.4,152,117,232,465,31,,398,72,208,282,303,192,156
126,359,20.1,74.5,136,107,271,410,31,,423,73,210,279,319,168,150
138,357,20.1,74.6,133,122,283,399,34,,415,72,206,291,318,176,149
156,367,20.1,74.7,127,132,259,451,31,,407,74,204,251,289,186,151
89,359,20.1,74.8,139,129,247,451,35,,419,75,213,269,301,185,146
117,376,20.1,74.9,151,322,221,437,30,,434,76,230,298,341,195,138
129,366,20.1,75.0,157,120,221,460,27,,460,75,228,310,319,186,150
132,363,20.1,75.1,155,113,181,518,28,,465,74,228,311,301,196,154
283,365,20.1,75.2,137,148,256,491,35,,402,69,216,317,253,216,141
214,355,20.1,75.3,130,122,217,502,28,,420,70,219,320,281,178,154
123,361,20.1,75.4,121,122,233,478,30,,429,73,213,309,289,192,150
178,335,20.1,75.5,129,107,227,468,30,,414,72,201,314,305,172,154
202,342,20.1,75.6,135,125,252,470,34,,478,71,199,304,278,194,155
187,336,20.1,75.7,118,105,263,489,31,,428,72,205,320,247,175,161
158,349,20.1,75.8,102,93,237,484,29,,456,73,215,317,279,165,160
164,332,20.1,75.9,97,112,279,479,30,,448,72,202,314,242,174,157
176,338,20.1,76.0,99,101,267,443,29,,455,73,210,312,291,169,155
136,341,20.1,76.1,144,114,234,443,30,,449,72,206,310,323,209,156
175,335,20.1,76.2,106,101,266,456,30,,443,73,207,320,278,168,155
168,331,20.1,76.3,109,124,270,448,31,,433,73,201,316,282,194,162
228,365,20.1,76.4,116,126,249,468,34,,466,72,212,269,282,220,160
163,346,20.1,76.5,95,120,239,451,34,,439,73,216,289,310,180,160
154,353,20.1,76.6,109,123,233,472,30,,485,73,212,345,296,173,158
177,347,20.1,76.7,111,121,257,513,32,,466,73,208,327,230,171,160
192,338,20.1,76.8,113,119,255,505,31,,453,72,211,321,240,182,160
244,385,20.1,76.9,114,123,239,462,32,,483,73,218,341,299,189,161
189,377,20.1,77.0,130,145,246,497,33,,459,72,212,351,257,222,160
186,364,20.1,77.1,139,107,250,507,30,,450,72,212,347,242,191,162
184,369,20.1,77.2,125,108,224,491,31,,466,72,213,346,285,182,162
201,367,20.1,77.3,119,120,233,500,34,,462,72,207,340,267,185,160
233,364,20.1,77.4,115,135,228,486,35,,461,71,201,330,286,180,161
228,365,20.1,77.5,121,135,239,443,34,,465,71,201,326,318,178,160
252,375,20.1,77.6,119,119,240,436,36,,441,72,190,345,325,180,160
168,371,20.1,77.7,119,117,245,405,35,,366,73,183,343,350,191,157
158,352,20.1,77.8,112,106,258,414,33,,337,71,184,258,328,181,159
186,371,20.1,77.9,112,112,284,401,35,,383,71,182,321,316,186,157
218,363,20.1,78.0,111,119,289,397,30,,368,72,182,340,314,176,156
137,352,20.1,78.1,137,112,263,410,30,,348,74,185,350,328,178,157
115,368,20.1,78.2,134,107,228,446,29,,351,74,188,347,326,165,159
175,331,20.1,78.3,131,107,269,439,30,,376,72,186,324,292,176,159
240,370,20.1,78.4,169,153,271,423,34,,373,70,181,353,306,196,159
135,339,20.1,78.5,119,115,242,446,29,,386,71,174,341,312,193,162
182,329,20.1,78.6,138,130,265,443,33,,352,70,164,332,292,210,160
232,336,20.1,78.7,131,117,244,437,32,,364,72,178,355,319,180,163
179,348,20.1,78.8,124,114,295,438,28,,369,72,182,348,268,187,161
182,337,20.1,78.9,124,107,288,403,28,,338,71,170,355,309,184,161
153,346,20.1,79.0,133,127,279,404,32,,347,73,163,348,317,195,161
158,347,20.1,79.1,129,114,266,362,30,,333,72,166,355,372,201,162
169,343,20.1,79.2,146,123,272,369,29,,326,72,168,348,359,179,162
200,351,20.1,79.3,143,204,265,373,42,,329,64,154,356,362,198,154
194,342,20.1,79.4,166,215,265,364,44,,293,63,144,243,371,220,150
195,348,20.1,79.5,138,171,300,353,44,,322,68,161,332,347,222,157
247,379,20.1,79.6,154,157,288,391,36,,362,69,165,268,321,198,157
164,362,20.1,79.7,205,145,262,325,46,,329,71,179,353,413,222,160
180,357,20.1,79.8,246,154,295,349,49,,330,70,172,348,356,230,160
144,354,20.1,79.9,225,151,304,371,50,,305,70,160,350,326,234,157
169,361,20.1,80.0,157,135,278,354,36,,293,72,163,344,369,215,159
153,358,20.1,80.1,145,182,282,358,41,,287,62,166,340,360,227,155
157,389,20.1,80.2,202,169,298,331,52,,249,68,168,342,371,228,157
178,386,20.1,80.3,241,265,310,354,44,,268,60,161,296,336,224,152
193,390,20.1,80.4,214,225,323,350,46,,253,61,161,336,328,234,153
130,392,20.1,80.5,152,224,309,336,44,,238,61,156,346,355,226,150
182,395,20.1,80.6,159,252,337,357,46,,234,59,153,337,306,215,152
126,400,20.1,80.7,156,171,292,395,47,,217,67,163,337,313,212,156
111,395,20.1,80.8,185,231,333,335,49,,193,59,147,331,332,229,152
172,386,20.1,80.9,207,359,379,370,47,,260,59,146,332,251,255,134
99,394,20.1,81.0,166,162,356,369,46,,177,63,159,336,274,257,152
134,395,20.1,81.1,156,146,384,351,43,,181,63,142,332,265,213,154
121,397,20.1,81.2,187,187,410,313,41,,185,64,143,335,277,237,149
179,361,20.1,81.3,200,189,461,311,49,,278,61,156,341,227,223,143
225,372,20.1,81.4,210,230,413,359,48,,287,64,152,347,228,251,135
194,368,20.1,81.5,193,238,481,314,50,,255,64,147,281,205,276,136
158,367,20.1,81.6,197,238,463,328,43,,256,65,146,350,209,249,142
197,379,20.1,81.7,220,262,415,324,40,,343,64,157,345,260,258,144
145,379,20.1,81.8,219,237,408,315,44,,349,65,162,270,277,227,140
201,367,20.1,81.9,190,317,441,340,43,,290,59,159,356,219,249,136
177,372,20.1,82.0,156,316,475,292,40,,291,60,150,305,233,214,141
93,401,20.1,82.1,137,210,425,321,38,,263,61,142,343,253,239,142
142,395,20.1,82.2,179,173,416,314,41,,279,66,150,348,269,225,146
103,403,20.1,82.3,136,187,372,276,39,,232,60,142,348,352,212,145
123,399,20.1,82.4,155,207,393,309,38,,258,65,138,345,297,225,142
124,401,20.1,82.5,171,136,379,330,35,,262,66,144,343,292,221,141
79,404,20.1,82.6,181,169,322,334,33,,246,66,144,349,344,234,144
103,415,20.1,82.7,176,183,299,338,36,,236,67,150,342,363,244,141
120,408,20.1,82.8,154,177,276,355,38,,229,65,144,333,369,232,143
119,413,20.1,82.9,158,186,353,296,41,,238,65,146,322,351,237,141
132,405,20.1,83.0,154,227,383,285,43,,215,64,144,326,333,247,138
188,408,20.1,83.1,191,239,381,288,47,,219,65,138,329,332,263,139
119,414,20.1,83.2,196,190,337,293,38,,234,65,150,334,371,259,140
83,415,20.1,83.3,171,204,349,319,41,,236,65,141,313,332,241,139
87,414,20.1,83.4,163,197,349,319,39,,245,64,145,325,332,236,141
96,412,20.1,83.5,165,222,388,294,39,,230,65,142,327,318,262,137
141,401,20.1,83.6,191,286,391,304,47,,218,60,153,328,305,290,132
156,394,20.1,83.7,187,240,397,306,49,,194,58,142,276,298,277,126
178,396,20.1,83.8,195,289,399,307,53,,190,58,153,328,294,303,127
173,398,20.1,83.9,204,297,368,346,53,,187,59,162,336,286,308,128
120,417,20.1,84.0,195,261,342,361,47,,200,61,148,328,297,278,131
188,400,20.1,84.1,245,311,362,312,55,,189,57,160,326,327,314,117
130,398,20.1,84.2,203,329,368,309,52,,169,57,168,329,323,307,124
175,404,20.1,84.3,421,518,348,286,65,,261,57,175,334,366,384,111
176,394,20.1,84.4,321,459,370,261,58,,187,57,167,347,369,349,120
174,393,20.1,84.5,255,311,371,284,58,,200,58,166,295,345,336,125
72,393,20.1,84.6,167,258,361,316,42,,177,64,141,351,323,311,130
74,394,20.1,84.7,194,262,389,308,47,,187,65,160,341,302,330,128
124,398,20.1,84.8,206,286,367,270,48,,196,59,157,337,363,330,128
82,388,20.1,84.9,160,242,364,330,41,,167,62,151,344,306,280,132
207,409,20.1,85.0,313,397,354,297,63,,222,57,172,323,349,378,122
103,396,20.1,85.1,191,243,343,358,45,,185,61,151,339,300,289,132
196,402,20.1,85.2,233,285,380,303,51,,162,62,164,343,317,321,125
95,384,20.1,85.3,165,289,425,297,40,,175,62,141,345,278,308,129
170,399,20.1,85.4,160,240,374,323,44,,188,63,153,320,303,310,132
132,393,20.1,85.5,166,240,429,285,40,,186,62,147,328,286,283,132
87,390,20.1,85.6,167,229,385,299,45,,186,62,139,330,316,284,133
75,398,20.1,85.7,156,205,300,327,42,,193,65,181,317,373,301,128
115,393,20.1,85.8,177,255,295,335,47,,182,64,172,305,370,318,129
77,394,20.1,85.9,190,232,305,327,47,,173,65,175,334,368,320,130
60,382,20.1,86.0,213,244,306,310,44,,173,64,192,313,385,332,126
60,387,20.1,86.1,214,259,279,330,48,,172,65,189,312,391,371,125
53,378,20.1,86.2,175,196,268,352,47,,196,66,197,314,379,336,125
49,365,20.1,86.3,207,296,239,388,51,,182,66,200,315,373,320,120
46,366,20.1,86.4,219,312,229,315,46,,185,67,197,324,456,326,120
,,20.1,86.5,,,,,,,,,,,,,
,,20.1,86.6,,,,,,,,,,,,,
,,20.1,86.7,,,,,,,,,,,,,
,,20.1,86.8,,,,,,,,,,,,,
,,20.1,86.9,,,,,,,,,,,,,
,,20.1,87.0,,,,,,,,,,,,,
,,20.1,87.1,,,,,,,,,,,,,
,,20.1,87.2,,,,,,,,,,,,,
,,20.1,87.3,,,,,,,,,,,,,
,,20.1,87.4,,,,,,,,,,,,,
,,20.1,87.5,,,,,,,,,,,,,
,,20.1,87.6,,,,,,,,,,,,,
,,20.1,87.7,,,,,,,,,,,,,
,,20.1,87.8,,,,,,,,,,,,,
,,20.1,87.9,,,,,,,,,,,,,
,,20.1,88.0,,,,,,,,,,,,,
,,20.1,88.1,,,,,,,,,,,,,
,,20.1,88.2,,,,,,,,,,,,,
,,20.1,88.3,,,,,,,,,,,,,
,,20.1,88.4,,,,,,,,,,,,,
,,20.1,88.5,,,,,,,,,,,,,
,,20.1,88.6,,,,,,,,,,,,,
,,20.1,88.7,,,,,,,,,,,,,
,,20.1,88.8,,,,,,,,,,,,,
,,20.1,88.9,,,,,,,,,,,,,
,,20.1,89.0,,,,,,,,,,,,,
,,20.1,89.1,,,,,,,,,,,,,
,,20.1,89.2,,,,,,,,,,,,,
,,20.1,89.3,,,,,,,,,,,,,
,,20.1,89.4,,,,,,,,,,,,,
,,20.1,89.5,,,,,,,,,,,,,
,,20.1,89.6,,,,,,,,,,,,,
,,20.1,89.7,,,,,,,,,,,,,
,,20.1,89.8,,,,,,,,,,,,,
,,20.1,89.9,,,,,,,,,,,,,
,,20.1,90.0,,,,,,,,,,,,,
,,20.1,90.1,,,,,,,,,,,,,
,,20.1,90.2,,,,,,,,,,,,,
,,20.1,90.3,,,,,,,,,,,,,
,,20.1,90.4,,,,,,,,,,,,,
,,20.1,90.5,,,,,,,,,,,,,
,,20.1,90.6,,,,,,,,,,,,,
,,20.1,90.7,,,,,,,,,,,,,
,,20.1,90.8,,,,,,,,,,,,,
,,20.1,90.9,,,,,,,,,,,,,
,,20.1,91.0,,,,,,,,,,,,,
,,20.1,91.1,,,,,,,,,,,,,
,,20.1,91.2,,,,,,,,,,,,,
,,20.1,91.3,,,,,,,,,,,,,
,,20.1,91.4,,,,,,,,,,,,,
,,20.1,91.5,,,,,,,,,,,,,
,,20.1,91.6,,,,,,,,,,,,,
,,20.1,91.7,,,,,,,,,,,,,
,,20.1,91.8,,,,,,,,,,,,,
,,20.1,91.9,,,,,,,,,,,,,
,,20.1,92.0,,,,,,,,,,,,,
,,20.1,92.1,,,,,,,,,,,,,
,,20.1,92.2,,,,,,,,,,,,,
,,20.1,92.3,,,,,,,,,,,,,
,,20.1,92.4,,,,,,,,,,,,,
,,20.1,92.5,,,,,,,,,,,,,
,,20.1,92.6,,,,,,,,,,,,,
,,20.1,92.7,,,,,,,,,,,,,
,,20.1,92.8,,,,,,,,,,,,,
,,20.1,92.9,,,,,,,,,,,,,
157,372,20.1,93.0,215,331,374,299,53,,241,59,173,330,327,387,132
117,371,20.1,93.1,393,439,274,353,64,,279,60,196,324,374,388,122
,,20.1,93.2,,,,,,,,,,,,,
108,374,20.1,93.3,322,312,285,357,60,,263,60,204,328,358,353,124
,,20.1,93.4,,,,,,,,,,,,,
156,374,20.1,93.5,229,255,385,291,51,,223,57,183,322,324,378,132
198,379,20.1,93.6,251,423,394,309,64,,224,57,189,322,297,365,121
206,385,20.1,93.7,241,329,420,272,68,,235,56,168,327,309,366,121
226,382,20.1,93.8,264,371,419,277,69,,236,54,179,333,304,385,119
249,383,20.1,93.9,302,380,411,266,56,,223,56,168,322,323,360,118
218,383,20.1,94.0,292,373,416,269,61,,193,56,184,347,315,403,118
188,398,20.1,94.1,278,347,386,255,66,,217,55,180,338,359,372,119
200,409,20.1,94.2,432,493,362,294,73,,254,55,189,323,344,456,113
218,420,20.1,94.3,470,575,394,280,86,,222,56,199,322,325,453,108
182,400,20.1,94.4,300,393,430,296,61,,172,58,161,338,274,327,123
188,381,20.1,94.5,189,215,412,325,50,,207,61,165,294,263,293,131
148,366,20.1,94.6,173,234,422,319,48,,203,64,161,278,259,295,135
158,370,20.1,94.7,191,251,451,307,55,,220,65,156,307,242,286,135
87,357,20.1,94.8,181,391,381,297,45,,213,65,155,313,323,276,
167,374,20.1,94.9,178,387,389,337,45,,243,66,167,295,274,314,132
114,368,20.1,95.0,162,351,417,307,40,,188,67,156,308,276,262,128
98,370,20.1,95.1,183,340,350,341,46,,198,68,158,304,309,284,128
149,376,20.1,95.2,247,546,336,349,54,,251,69,171,299,315,339,
,,20.1,95.3,,,,,,,,,,296,,,
76,368,20.1,95.4,196,217,342,352,45,,215,68,174,296,306,300,138
47,364,20.1,95.5,175,275,360,336,47,,166,67,188,259,303,291,133
131,372,20.1,95.6,205,300,447,297,51,,240,66,156,299,257,286,131
151,388,20.1,95.7,197,259,428,294,45,,223,67,158,282,278,293,137
169,370,20.1,95.8,236,277,456,305,46,,189,61,170,294,238,298,132
158,369,20.1,95.9,210,255,465,292,48,,181,61,177,290,243,325,132
123,376,20.1,96.0,187,230,363,335,44,,197,66,181,297,302,281,141
139,372,20.1,96.1,188,257,456,310,41,,174,65,163,281,234,305,138
83,357,20.1,96.2,153,219,346,322,38,,194,64,187,282,333,270,143
142,390,20.1,96.3,189,295,442,280,42,,163,64,185,293,278,275,131
161,376,20.1,96.4,258,392,426,279,59,,196,56,185,281,296,363,118
202,371,20.1,96.5,489,477,434,282,71,,203,56,194,309,284,393,114
179,374,20.1,96.6,526,403,428,265,61,,194,57,171,317,307,328,118
161,381,20.1,96.7,324,423,383,316,66,,213,56,187,348,301,320,108
145,413,20.1,96.8,227,387,362,323,64,,217,62,186,350,315,334,115
112,407,20.1,96.9,225,275,402,287,56,,162,60,160,344,311,297,126
153,405,20.1,97.0,176,231,371,288,51,,175,61,164,334,341,290,127
137,398,20.1,97.1,200,256,393,296,57,,146,57,177,341,311,296,122
116,396,20.1,97.2,182,216,369,261,48,,152,62,173,333,370,305,124
99,404,20.1,97.3,188,246,375,277,51,,160,62,168,344,348,294,128
96,397,20.1,97.4,191,249,406,266,55,,152,62,166,345,328,293,124
161,405,20.1,97.5,272,340,399,291,63,,166,56,172,331,310,331,108
164,405,20.1,97.6,286,334,412,278,67,,159,57,176,357,310,303,117
156,390,20.1,97.7,303,346,431,249,60,,154,57,160,325,320,309,118
168,391,20.1,97.8,317,411,426,265,61,,138,56,160,346,309,303,116
131,391,20.1,97.9,242,323,458,237,63,,150,56,163,346,305,286,116
159,400,20.1,98.0,280,312,466,239,72,,148,56,177,349,295,303,117
