wv1500,cfvo,cec,Latitude,clay,silt,wv0010,wv0033,ocd,ocs,Longitude,phh2o,sand,bdod,soc,nitrogen
,,,10.1,,,,,,,68,,,,,
,,,10.1,,,,,,,68.1,,,,,
,,,10.1,,,,,,,68.2,,,,,
,,,10.1,,,,,,,68.3,,,,,
,,,10.1,,,,,,,68.4,,,,,
,,,10.1,,,,,,,68.5,,,,,
,,,10.1,,,,,,,68.6,,,,,
,,,10.1,,,,,,,68.7,,,,,
,,,10.1,,,,,,,68.8,,,,,
,,,10.1,,,,,,,68.9,,,,,
,,,10.1,,,,,,,69.0,,,,,
,,,10.1,,,,,,,69.1,,,,,
,,,10.1,,,,,,,69.2,,,,,
,,,10.1,,,,,,,69.3,,,,,
,,,10.1,,,,,,,69.4,,,,,
,,,10.1,,,,,,,69.5,,,,,
,,,10.1,,,,,,,69.6,,,,,
,,,10.1,,,,,,,69.7,,,,,
,,,10.1,,,,,,,69.8,,,,,
,,,10.1,,,,,,,69.9,,,,,
,,,10.1,,,,,,,70.0,,,,,
,,,10.1,,,,,,,70.1,,,,,
,,,10.1,,,,,,,70.2,,,,,
,,,10.1,,,,,,,70.3,,,,,
,,,10.1,,,,,,,70.4,,,,,
,,,10.1,,,,,,,70.5,,,,,
,,,10.1,,,,,,,70.6,,,,,
,,,10.1,,,,,,,70.7,,,,,
,,,10.1,,,,,,,70.8,,,,,
,,,10.1,,,,,,,70.9,,,,,
,,,10.1,,,,,,,71.0,,,,,
,,,10.1,,,,,,,71.1,,,,,
,,,10.1,,,,,,,71.2,,,,,
,,,10.1,,,,,,,71.3,,,,,
,,,10.1,,,,,,,71.4,,,,,
,,,10.1,,,,,,,71.5,,,,,
,,,10.1,,,,,,,71.6,,,,,
,,,10.1,,,,,,,71.7,,,,,
,,,10.1,,,,,,,71.8,,,,,
,,,10.1,,,,,,,71.9,,,,,
,,,10.1,,,,,,,72.0,,,,,
,,,10.1,,,,,,,72.1,,,,,
,,,10.1,,,,,,,72.2,,,,,
,,,10.1,,,,,,,72.3,,,,,
,,,10.1,,,,,,,72.4,,,,,
,,,10.1,,,,,,,72.5,,,,,
,,,10.1,,,,,,,72.6,,,,,
,,,10.1,,,,,,,72.7,,,,,
,,,10.1,,,,,,,72.8,,,,,
,,,10.1,,,,,,,72.9,,,,,
,,,10.1,,,,,,,73.0,,,,,
,,,10.1,,,,,,,73.1,,,,,
,,,10.1,,,,,,,73.2,,,,,
,,,10.1,,,,,,,73.3,,,,,
,,,10.1,,,,,,,73.4,,,,,
,,,10.1,,,,,,,73.5,,,,,
,,,10.1,,,,,,,73.6,,,,,
,,,10.1,,,,,,,73.7,,,,,
,,,10.1,,,,,,,73.8,,,,,
,,,10.1,,,,,,,73.9,,,,,
,,,10.1,,,,,,,74.0,,,,,
,,,10.1,,,,,,,74.1,,,,,
,,,10.1,,,,,,,74.2,,,,,
,,,10.1,,,,,,,74.3,,,,,
,,,10.1,,,,,,,74.4,,,,,
,,,10.1,,,,,,,74.5,,,,,
,,,10.1,,,,,,,74.6,,,,,
,,,10.1,,,,,,,74.7,,,,,
,,,10.1,,,,,,,74.8,,,,,
,,,10.1,,,,,,,74.9,,,,,
,,,10.1,,,,,,,75.0,,,,,
,,,10.1,,,,,,,75.1,,,,,
,,,10.1,,,,,,,75.2,,,,,
,,,10.1,,,,,,,75.3,,,,,
,,,10.1,,,,,,,75.4,,,,,
,,,10.1,,,,,,,75.5,,,,,
,,,10.1,,,,,,,75.6,,,,,
,,,10.1,,,,,,,75.7,,,,,
,,,10.1,,,,,,,75.8,,,,,
,,,10.1,,,,,,,75.9,,,,,
,,,10.1,,,,,,,76.0,,,,,
,,,10.1,,,,,,,76.1,,,,,
,,,10.1,,,,,,,76.2,,,,,
179,92,192,10.1,339,312,379,325,395,55,76.3,54,350,119,540,318
171,131,148,10.1,317,232,383,325,343,48,76.4,55,450,122,378,343
170,110,140,10.1,317,279,388,329,336,53,76.5,52,404,121,402,306
159,98,178,10.1,282,300,380,320,329,50,76.6,53,418,119,340,367
173,185,154,10.1,329,281,402,323,357,63,76.7,53,390,107,323,381
180,124,180,10.1,333,279,409,331,401,63,76.8,52,388,104,488,469
193,142,184,10.1,342,309,425,334,476,76,76.9,52,349,101,635,736
201,82,190,10.1,324,332,398,326,526,65,77.0,52,344,95,618,546
195,97,206,10.1,350,330,424,351,554,68,77.1,54,320,101,521,558
195,159,225,10.1,307,363,440,388,529,81,77.2,55,330,97,735,515
200,102,213,10.1,373,296,399,318,467,74,77.3,57,330,117,583,465
185,114,231,10.1,327,281,389,318,469,68,77.4,56,392,106,544,509
152,153,251,10.1,319,244,376,295,327,50,77.5,68,437,130,413,302
171,84,250,10.1,317,255,370,292,324,45,77.6,66,428,139,301,234
149,87,236,10.1,322,260,362,266,282,38,77.7,71,418,148,282,185
150,76,246,10.1,353,254,364,292,289,40,77.8,70,392,150,358,203
162,121,242,10.1,305,244,365,281,286,39,77.9,71,452,148,325,245
159,84,249,10.1,313,271,358,263,332,42,78.0,69,416,144,290,249
154,87,273,10.1,298,300,371,293,321,43,78.1,71,402,145,303,244
178,113,254,10.1,297,316,350,312,360,58,78.2,61,387,120,404,372
181,104,256,10.1,322,272,334,285,317,38,78.3,69,406,146,309,244
169,92,281,10.1,354,276,326,292,302,40,78.4,70,370,144,310,263
181,76,294,10.1,348,293,334,285,281,43,78.5,71,359,146,302,255
174,69,272,10.1,357,265,336,269,298,37,78.6,70,378,149,300,280
170,105,317,10.1,331,282,330,265,307,37,78.7,72,387,145,328,238
178,121,279,10.1,300,305,339,289,303,35,78.8,69,395,142,332,243
176,67,284,10.1,349,289,348,284,327,36,78.9,73,362,144,329,243
180,61,300,10.1,351,261,356,288,317,35,79.0,75,388,144,338,273
196,59,300,10.1,355,335,351,300,320,47,79.1,67,310,141,320,349
188,52,266,10.1,353,320,369,300,317,44,79.2,67,326,137,339,331
,,,10.1,,,,,,,79.3,,,,,
,,,10.1,,,,,,,79.4,,,,,
,,,10.1,,,,,,,79.5,,,,,
,,,10.1,,,,,,,79.6,,,,,
,,,10.1,,,,,,,79.7,,,,,
,,,10.1,,,,,,,79.8,,,,,
,,,10.1,,,,,,,79.9,,,,,
,,,10.1,,,,,,,80.0,,,,,
,,,10.1,,,,,,,80.1,,,,,
,,,10.1,,,,,,,80.2,,,,,
,,,10.1,,,,,,,80.3,,,,,
,,,10.1,,,,,,,80.4,,,,,
,,,10.1,,,,,,,80.5,,,,,
,,,10.1,,,,,,,80.6,,,,,
,,,10.1,,,,,,,80.7,,,,,
,,,10.1,,,,,,,80.8,,,,,
,,,10.1,,,,,,,80.9,,,,,
,,,10.1,,,,,,,81.0,,,,,
,,,10.1,,,,,,,81.1,,,,,
,,,10.1,,,,,,,81.2,,,,,
,,,10.1,,,,,,,81.3,,,,,
,,,10.1,,,,,,,81.4,,,,,
,,,10.1,,,,,,,81.5,,,,,
,,,10.1,,,,,,,81.6,,,,,
,,,10.1,,,,,,,81.7,,,,,
,,,10.1,,,,,,,81.8,,,,,
,,,10.1,,,,,,,81.9,,,,,
,,,10.1,,,,,,,82.0,,,,,
,,,10.1,,,,,,,82.1,,,,,
,,,10.1,,,,,,,82.2,,,,,
,,,10.1,,,,,,,82.3,,,,,
,,,10.1,,,,,,,82.4,,,,,
,,,10.1,,,,,,,82.5,,,,,
,,,10.1,,,,,,,82.6,,,,,
,,,10.1,,,,,,,82.7,,,,,
,,,10.1,,,,,,,82.8,,,,,
,,,10.1,,,,,,,82.9,,,,,
,,,10.1,,,,,,,83.0,,,,,
,,,10.1,,,,,,,83.1,,,,,
,,,10.1,,,,,,,83.2,,,,,
,,,10.1,,,,,,,83.3,,,,,
,,,10.1,,,,,,,83.4,,,,,
,,,10.1,,,,,,,83.5,,,,,
,,,10.1,,,,,,,83.6,,,,,
,,,10.1,,,,,,,83.7,,,,,
,,,10.1,,,,,,,83.8,,,,,
,,,10.1,,,,,,,83.9,,,,,
,,,10.1,,,,,,,84.0,,,,,
,,,10.1,,,,,,,84.1,,,,,
,,,10.1,,,,,,,84.2,,,,,
,,,10.1,,,,,,,84.3,,,,,
,,,10.1,,,,,,,84.4,,,,,
,,,10.1,,,,,,,84.5,,,,,
,,,10.1,,,,,,,84.6,,,,,
,,,10.1,,,,,,,84.7,,,,,
,,,10.1,,,,,,,84.8,,,,,
,,,10.1,,,,,,,84.9,,,,,
,,,10.1,,,,,,,85.0,,,,,
,,,10.1,,,,,,,85.1,,,,,
,,,10.1,,,,,,,85.2,,,,,
,,,10.1,,,,,,,85.3,,,,,
,,,10.1,,,,,,,85.4,,,,,
,,,10.1,,,,,,,85.5,,,,,
,,,10.1,,,,,,,85.6,,,,,
,,,10.1,,,,,,,85.7,,,,,
,,,10.1,,,,,,,85.8,,,,,
,,,10.1,,,,,,,85.9,,,,,
,,,10.1,,,,,,,86.0,,,,,
,,,10.1,,,,,,,86.1,,,,,
,,,10.1,,,,,,,86.2,,,,,
,,,10.1,,,,,,,86.3,,,,,
,,,10.1,,,,,,,86.4,,,,,
,,,10.1,,,,,,,86.5,,,,,
,,,10.1,,,,,,,86.6,,,,,
,,,10.1,,,,,,,86.7,,,,,
,,,10.1,,,,,,,86.8,,,,,
,,,10.1,,,,,,,86.9,,,,,
,,,10.1,,,,,,,87.0,,,,,
,,,10.1,,,,,,,87.1,,,,,
,,,10.1,,,,,,,87.2,,,,,
,,,10.1,,,,,,,87.3,,,,,
,,,10.1,,,,,,,87.4,,,,,
,,,10.1,,,,,,,87.5,,,,,
,,,10.1,,,,,,,87.6,,,,,
,,,10.1,,,,,,,87.7,,,,,
,,,10.1,,,,,,,87.8,,,,,
,,,10.1,,,,,,,87.9,,,,,
,,,10.1,,,,,,,88.0,,,,,
,,,10.1,,,,,,,88.1,,,,,
,,,10.1,,,,,,,88.2,,,,,
,,,10.1,,,,,,,88.3,,,,,
,,,10.1,,,,,,,88.4,,,,,
,,,10.1,,,,,,,88.5,,,,,
,,,10.1,,,,,,,88.6,,,,,
,,,10.1,,,,,,,88.7,,,,,
,,,10.1,,,,,,,88.8,,,,,
,,,10.1,,,,,,,88.9,,,,,
,,,10.1,,,,,,,89.0,,,,,
,,,10.1,,,,,,,89.1,,,,,
,,,10.1,,,,,,,89.2,,,,,
,,,10.1,,,,,,,89.3,,,,,
,,,10.1,,,,,,,89.4,,,,,
,,,10.1,,,,,,,89.5,,,,,
,,,10.1,,,,,,,89.6,,,,,
,,,10.1,,,,,,,89.7,,,,,
,,,10.1,,,,,,,89.8,,,,,
,,,10.1,,,,,,,89.9,,,,,
,,,10.1,,,,,,,90.0,,,,,
,,,10.1,,,,,,,90.1,,,,,
,,,10.1,,,,,,,90.2,,,,,
,,,10.1,,,,,,,90.3,,,,,
,,,10.1,,,,,,,90.4,,,,,
,,,10.1,,,,,,,90.5,,,,,
,,,10.1,,,,,,,90.6,,,,,
,,,10.1,,,,,,,90.7,,,,,
,,,10.1,,,,,,,90.8,,,,,
,,,10.1,,,,,,,90.9,,,,,
,,,10.1,,,,,,,91.0,,,,,
,,,10.1,,,,,,,91.1,,,,,
,,,10.1,,,,,,,91.2,,,,,
,,,10.1,,,,,,,91.3,,,,,
,,,10.1,,,,,,,91.4,,,,,
,,,10.1,,,,,,,91.5,,,,,
,,,10.1,,,,,,,91.6,,,,,
,,,10.1,,,,,,,91.7,,,,,
,,,10.1,,,,,,,91.8,,,,,
,,,10.1,,,,,,,91.9,,,,,
,,,10.1,,,,,,,92.0,,,,,
,,,10.1,,,,,,,92.1,,,,,
,,,10.1,,,,,,,92.2,,,,,
,,,10.1,,,,,,,92.3,,,,,
,,,10.1,,,,,,,92.4,,,,,
,,,10.1,,,,,,,92.5,,,,,
,,,10.1,,,,,,,92.6,,,,,
,,,10.1,,,,,,,92.7,,,,,
,,,10.1,,,,,,,92.8,,,,,
,,,10.1,,,,,,,92.9,,,,,
,,,10.1,,,,,,,93.0,,,,,
,,,10.1,,,,,,,93.1,,,,,
,,,10.1,,,,,,,93.2,,,,,
,,,10.1,,,,,,,93.3,,,,,
,,,10.1,,,,,,,93.4,,,,,
,,,10.1,,,,,,,93.5,,,,,
,,,10.1,,,,,,,93.6,,,,,
,,,10.1,,,,,,,93.7,,,,,
,,,10.1,,,,,,,93.8,,,,,
,,,10.1,,,,,,,93.9,,,,,
,,,10.1,,,,,,,94.0,,,,,
,,,10.1,,,,,,,94.1,,,,,
,,,10.1,,,,,,,94.2,,,,,
,,,10.1,,,,,,,94.3,,,,,
,,,10.1,,,,,,,94.4,,,,,
,,,10.1,,,,,,,94.5,,,,,
,,,10.1,,,,,,,94.6,,,,,
,,,10.1,,,,,,,94.7,,,,,
,,,10.1,,,,,,,94.8,,,,,
,,,10.1,,,,,,,94.9,,,,,
,,,10.1,,,,,,,95.0,,,,,
,,,10.1,,,,,,,95.1,,,,,
,,,10.1,,,,,,,95.2,,,,,
,,,10.1,,,,,,,95.3,,,,,
,,,10.1,,,,,,,95.4,,,,,
,,,10.1,,,,,,,95.5,,,,,
,,,10.1,,,,,,,95.6,,,,,
,,,10.1,,,,,,,95.7,,,,,
,,,10.1,,,,,,,95.8,,,,,
,,,10.1,,,,,,,95.9,,,,,
,,,10.1,,,,,,,96.0,,,,,
,,,10.1,,,,,,,96.1,,,,,
,,,10.1,,,,,,,96.2,,,,,
,,,10.1,,,,,,,96.3,,,,,
,,,10.1,,,,,,,96.4,,,,,
,,,10.1,,,,,,,96.5,,,,,
,,,10.1,,,,,,,96.6,,,,,
,,,10.1,,,,,,,96.7,,,,,
,,,10.1,,,,,,,96.8,,,,,
,,,10.1,,,,,,,96.9,,,,,
,,,10.1,,,,,,,97.0,,,,,
,,,10.1,,,,,,,97.1,,,,,
,,,10.1,,,,,,,97.2,,,,,
,,,10.1,,,,,,,97.3,,,,,
,,,10.1,,,,,,,97.4,,,,,
,,,10.1,,,,,,,97.5,,,,,
,,,10.1,,,,,,,97.6,,,,,
,,,10.1,,,,,,,97.7,,,,,
,,,10.1,,,,,,,97.8,,,,,
,,,10.1,,,,,,,97.9,,,,,
,,,10.1,,,,,,,98.0,,,,,
,,,10.2,,,,,,,68,,,,,
,,,10.2,,,,,,,68.1,,,,,
,,,10.2,,,,,,,68.2,,,,,
,,,10.2,,,,,,,68.3,,,,,
,,,10.2,,,,,,,68.4,,,,,
,,,10.2,,,,,,,68.5,,,,,
,,,10.2,,,,,,,68.6,,,,,
,,,10.2,,,,,,,68.7,,,,,
,,,10.2,,,,,,,68.8,,,,,
,,,10.2,,,,,,,68.9,,,,,
,,,10.2,,,,,,,69.0,,,,,
,,,10.2,,,,,,,69.1,,,,,
,,,10.2,,,,,,,69.2,,,,,
,,,10.2,,,,,,,69.3,,,,,
,,,10.2,,,,,,,69.4,,,,,
,,,10.2,,,,,,,69.5,,,,,
,,,10.2,,,,,,,69.6,,,,,
,,,10.2,,,,,,,69.7,,,,,
,,,10.2,,,,,,,69.8,,,,,
,,,10.2,,,,,,,69.9,,,,,
,,,10.2,,,,,,,70.0,,,,,
,,,10.2,,,,,,,70.1,,,,,
,,,10.2,,,,,,,70.2,,,,,
,,,10.2,,,,,,,70.3,,,,,
,,,10.2,,,,,,,70.4,,,,,
,,,10.2,,,,,,,70.5,,,,,
,,,10.2,,,,,,,70.6,,,,,
,,,10.2,,,,,,,70.7,,,,,
,,,10.2,,,,,,,70.8,,,,,
,,,10.2,,,,,,,70.9,,,,,
,,,10.2,,,,,,,71.0,,,,,
,,,10.2,,,,,,,71.1,,,,,
,,,10.2,,,,,,,71.2,,,,,
,,,10.2,,,,,,,71.3,,,,,
,,,10.2,,,,,,,71.4,,,,,
,,,10.2,,,,,,,71.5,,,,,
,,,10.2,,,,,,,71.6,,,,,
,,,10.2,,,,,,,71.7,,,,,
,,,10.2,,,,,,,71.8,,,,,
,,,10.2,,,,,,,71.9,,,,,
,,,10.2,,,,,,,72.0,,,,,
,,,10.2,,,,,,,72.1,,,,,
,,,10.2,,,,,,,72.2,,,,,
,,,10.2,,,,,,,72.3,,,,,
,,,10.2,,,,,,,72.4,,,,,
,,,10.2,,,,,,,72.5,,,,,
,,,10.2,,,,,,,72.6,,,,,
,,,10.2,,,,,,,72.7,,,,,
,,,10.2,,,,,,,72.8,,,,,
,,,10.2,,,,,,,72.9,,,,,
,,,10.2,,,,,,,73.0,,,,,
,,,10.2,,,,,,,73.1,,,,,
,,,10.2,,,,,,,73.2,,,,,
,,,10.2,,,,,,,73.3,,,,,
,,,10.2,,,,,,,73.4,,,,,
,,,10.2,,,,,,,73.5,,,,,
,,,10.2,,,,,,,73.6,,,,,
,,,10.2,,,,,,,73.7,,,,,
,,,10.2,,,,,,,73.8,,,,,
,,,10.2,,,,,,,73.9,,,,,
,,,10.2,,,,,,,74.0,,,,,
,,,10.2,,,,,,,74.1,,,,,
,,,10.2,,,,,,,74.2,,,,,
,,,10.2,,,,,,,74.3,,,,,
,,,10.2,,,,,,,74.4,,,,,
,,,10.2,,,,,,,74.5,,,,,
,,,10.2,,,,,,,74.6,,,,,
,,,10.2,,,,,,,74.7,,,,,
,,,10.2,,,,,,,74.8,,,,,
,,,10.2,,,,,,,74.9,,,,,
,,,10.2,,,,,,,75.0,,,,,
,,,10.2,,,,,,,75.1,,,,,
,,,10.2,,,,,,,75.2,,,,,
,,,10.2,,,,,,,75.3,,,,,
,,,10.2,,,,,,,75.4,,,,,
,,,10.2,,,,,,,75.5,,,,,
,,,10.2,,,,,,,75.6,,,,,
,,,10.2,,,,,,,75.7,,,,,
,,,10.2,,,,,,,75.8,,,,,
,,,10.2,,,,,,,75.9,,,,,
,,,10.2,,,,,,,76.0,,,,,
,,,10.2,,,,,,,76.1,,,,,
,,,10.2,,,,,,,76.2,,,,,
183,92,203,10.2,317,230,376,325,354,58,76.3,54,453,122,456,293
175,103,191,10.2,306,279,390,321,356,55,76.4,54,415,118,526,291
173,110,148,10.2,318,236,385,315,338,52,76.5,53,446,120,652,316
169,210,161,10.2,327,298,395,332,363,59,76.6,52,375,112,373,325
184,191,152,10.2,302,315,396,325,417,58,76.7,53,383,110,450,370
178,204,159,10.2,344,276,398,334,386,61,76.8,53,380,106,354,383
202,137,225,10.2,346,264,422,325,470,65,76.9,53,390,103,641,481
200,99,206,10.2,373,323,426,320,536,75,77.0,53,305,95,718,526
198,74,215,10.2,343,339,441,374,568,69,77.1,53,318,92,718,478
209,81,191,10.2,333,324,425,333,490,66,77.2,53,343,97,696,557
196,90,231,10.2,343,329,420,350,551,78,77.3,52,329,95,741,508
196,77,225,10.2,334,346,441,348,579,80,77.4,52,319,94,995,534
192,110,260,10.2,316,341,396,311,448,70,77.5,58,342,103,604,473
156,139,235,10.2,321,258,387,330,386,57,77.6,62,422,125,518,352
160,146,236,10.2,298,266,372,295,318,48,77.7,68,436,134,368,264
153,84,247,10.2,310,229,355,273,296,41,77.8,72,460,148,312,221
160,117,252,10.2,321,271,369,275,300,48,77.9,71,408,142,348,268
165,130,230,10.2,308,288,362,310,409,58,78.0,58,404,106,502,439
182,125,267,10.2,322,286,376,313,351,55,78.1,65,392,133,320,297
190,109,286,10.2,340,292,363,291,326,48,78.2,69,368,141,336,260
170,100,249,10.2,309,320,346,303,296,37,78.3,66,371,145,311,242
179,78,269,10.2,336,299,340,288,299,39,78.4,65,365,143,318,244
177,100,270,10.2,368,268,328,282,286,40,78.5,67,364,146,360,267
173,64,276,10.2,343,261,334,284,293,39,78.6,71,397,144,328,285
172,103,274,10.2,316,298,316,263,306,36,78.7,72,386,142,372,285
173,90,281,10.2,316,293,340,289,289,38,78.8,73,391,146,294,220
174,72,274,10.2,346,280,347,282,305,34,78.9,73,374,147,325,237
175,61,275,10.2,354,257,358,276,303,40,79.0,73,389,143,342,267
200,61,274,10.2,357,288,365,287,317,44,79.1,70,355,139,389,286
193,59,246,10.2,335,356,378,291,326,43,79.2,65,309,136,390,355
,,,10.2,,,,,,,79.3,,,,,
,,,10.2,,,,,,,79.4,,,,,
,,,10.2,,,,,,,79.5,,,,,
,,,10.2,,,,,,,79.6,,,,,
,,,10.2,,,,,,,79.7,,,,,
,,,10.2,,,,,,,79.8,,,,,
,,,10.2,,,,,,,79.9,,,,,
,,,10.2,,,,,,,80.0,,,,,
,,,10.2,,,,,,,80.1,,,,,
,,,10.2,,,,,,,80.2,,,,,
,,,10.2,,,,,,,80.3,,,,,
,,,10.2,,,,,,,80.4,,,,,
,,,10.2,,,,,,,80.5,,,,,
,,,10.2,,,,,,,80.6,,,,,
,,,10.2,,,,,,,80.7,,,,,
